Part Number,Description,Shipped,Pack,Piece Price,Total
071610341234,Dutch Master Fusion 2CT/$1.29 30CT (C12) | Gold,1,30,23.99,23.99
,,,,,
071610341210,Dutch Master Fusion 2CT/$1.29 30CT (C12) | Honey Fusion,5,30,23.99,119.95
,,,,,
071610341081,Dutch Master Fusion 2CT/$1.29 30CT (C12) | Platinum,5,30,23.99,119.95
,,,,,
071610341173,Dutch Master Fusion 2CT/$1.29 30CT (C12) | Royal  Haze,4,30,23.99,95.96
,,,,,
071610341609,Dutch Master Grape 3Pk 20CT (C16),6,20,32.5,195.0
,,,,,
071610341302,Dutch Master Leaf 2 For $1.49 30CT (C12) | Tropical,2,30,25.0,50.0
,,,,,
819721010867,Entourage 25CT (C40) | Connoisseur,3,25,18.0,54.0
,,,,,
819721010676,Entourage 25CT (C40) | Pink Vanilla,2,25,18.0,36.0
,,,,,
819721010690,Entourage 25CT (C40) | Wine,2,25,18.0,36.0
,,,,,
031700237960,Game 2 For $1.29 30CT (C12) | Black Cherry,5,30,21.99,109.95
,,,,,
031700238035,Game 2 For $1.29 30CT (C12) | Black Sweets,41,30,21.99,901.59
,,,,,
031700237953,Game 2 For $1.29 30CT (C12) | Blue,55,30,21.99,1209.45
,,,,,
031700237991,Game 2 For $1.29 30CT (C12) | Diamond,53,30,21.99,1165.47
,,,,,
031700239377,Game 2 For $1.29 30CT (C12) | Espresso Martini,5,30,21.99,109.95
,,,,,
031700237939,Game 2 For $1.29 30CT (C12) | Grape,9,30,21.99,197.91
,,,,,
031700237946,Game 2 For $1.29 30CT (C12) | Green,18,30,21.99,395.82
,,,,,
031700237915,Game 2 For $1.29 30CT (C12) | Honey,1,30,21.99,21.99
,,,,,
031700237984,Game 2 For $1.29 30CT (C12) | Mango,7,30,21.99,153.93
,,,,,
031700239414,Game 2 For $1.29 30CT (C12) | Mvp White Russian,9,30,21.99,197.91
,,,,,
031700238011,Game 2 For $1.29 30CT (C12) | Natural Silver,80,30,21.99,1759.2
,,,,,
031700238004,Game 2 For $1.29 30CT (C12) | Pineapple,19,30,21.99,417.81
,,,,,
031700239100,Game 2 For $1.29 30CT (C12) | Red Ruby,7,30,21.99,153.93
,,,,,
